name,pop,density
China,1440297825,153
India,1382345085,464
USA,331341050,36
Indonesia,274021604,151
Pakistan,221612785,287
Brazil,212821986,25
Nigeria,206984347,226
Bangladesh,164972348,1265
Russia,145945524,9
Mexico,129166028,66
Japan,126407422,347
Ethiopia,115434444,115
Philippines,109830324,368
Egypt,102659126,103
Vietnam,97490013,314
DR Congo,90003954,40
Turkey,84495243,110
Iran,84176929,52
Germany,83830972,240
Thailand,69830779,137
United Kingdom,67948282,281
France,65298930,119
Italy,60446035,206
Tanzania,60012400,67
South Africa,59436725,49
Myanmar,54473253,83
Kenya,53968739,94
South Korea,51276977,527
Colombia,50976248,46
Spain,46757980,94
Uganda,45974931,229
Argentina,45267449,17
Algeria,43984569,18
Sudan,44019263,25
Ukraine,43686577,75
Iraq,40372771,93
Afghanistan,39074280,60
Poland,37839255,124
Canada,37799407,4
Morocco,36985624,83
Saudi Arabia,34905942,16
Uzbekistan,33551824,79
Peru,33050211,26
Angola,33032075,26
Malaysia,32436963,99
Mozambique,31398811,40
Ghana,31181428,137
Yemen,29935468,56
Nepal,29225196,203
Venezuela,28421581,32
Madagascar,27808395,48
Cameroon,26655083,56
Côte d'Ivoire,26486282,83
North Korea,25798588,214
Australia,25550683,3
Niger,24346468,19
Taiwan,23824369,673
Sri Lanka,21428970,341
Burkina Faso,20997293,76
Mali,20346106,17
Romania,19214608,84
Malawi,19211425,203
Chile,19144605,26
Kazakhstan,18815231,7
Zambia,18468257,25
Guatemala,17971382,167
Ecuador,17688599,71
Syria,17571053,95
Netherlands,17141544,508
Senegal,16816539,87
Cambodia,16758448,95
Chad,16502877,13
Somalia,15965848,25
Zimbabwe,14899771,38
Guinea,13191279,53
Rwanda,13005303,525
Benin,12175480,108
Burundi,11948454,463
Tunisia,11839918,76
Bolivia,11700207,11
Belgium,11598451,383
Haiti,11426356,414
Cuba,11325391,106
South Sudan,11216250,18
Dominican Republic,10866667,225
Czech Republic (Czechia),10712481,139
Greece,10413936,81
Jordan,10220604,115
Portugal,10191409,111
Azerbaijan,10154978,123
Sweden,10110233,25
Honduras,9931333,89
United Arab Emirates,9910892,118
Hungary,9655983,107
Tajikistan,9573310,68
Belarus,9448772,47
Austria,9015361,109
Papua New Guinea,8975531,20
Serbia,8731081,100
Israel,8678517,400
Switzerland,8665615,219
Togo,8310934,152
Sierra Leone,8004158,111
Hong Kong,7507523,7140
Laos,7293542,32
Paraguay,7147553,18
Bulgaria,6939018,64
Libya,6887247,4
Lebanon,6819976,667
Nicaragua,6638075,55
Kyrgyzstan,6542426,34
El Salvador,6491923,313
Turkmenistan,6046292,13
Singapore,5858322,8358
Denmark,5795780,137
Finland,5542237,18
Congo,5540555,16
Slovakia,5460109,114
Norway,5428594,15
Oman,5128058,16
State of Palestine,5121112,847
Costa Rica,5102158,100
Liberia,5077411,53
Ireland,4947267,72
Central African Republic,4843954,8
New Zealand,4829021,18
Mauritania,4669775,5
Panama,4326296,58
Kuwait,4281320,240
Croatia,4100719,73
Moldova,4032294,123
Georgia,3987805,57
Eritrea,3554797,35
Uruguay,3475842,20
Bosnia and Herzegovina,3277152,64
Mongolia,3287242,2
Armenia,2964219,104
Jamaica,2963429,273
Qatar,2889284,248
Albania,2877239,105
Puerto Rico,2846860,323
Lithuania,2715340,43
Namibia,2548663,3
Gambia,2427782,239
Botswana,2359585,4
Gabon,2234448,9
Lesotho,2145194,71
North Macedonia,2083359,83
Slovenia,2078989,103
Guinea-Bissau,1975718,70
Latvia,1882408,30
Bahrain,1711057,2239
Equatorial Guinea,1410419,50
Trinidad and Tobago,1400283,273
Estonia,1326693,31
Timor-Leste,1322667,89
Mauritius,1272140,626
Cyprus,1208886,131
Eswatini,1162233,67
Djibouti,990447,43
Fiji,897573,49
Réunion,896422,358
Comoros,872695,467
Guyana,787215,4
Bhutan,773069,20
Solomon Islands,689671,25
Macao,650846,21645
Montenegro,628080,47
Luxembourg,627704,242
Western Sahara,599769,2
Suriname,587541,4
Cabo Verde,557026,138
Maldives,542151,1802
Malta,441750,1380
Brunei,438202,83
Guadeloupe,400136,237
Belize,398845,17
Bahamas,393893,39
Martinique,375213,354
Iceland,341628,3
Vanuatu,308337,25
French Guiana,299958,4
Barbados,287437,668
New Caledonia,285972,16
French Polynesia,281191,77
Mayotte,273905,728
Sao Tome & Principe,219844,228
Samoa,198643,70
Saint Lucia,183774,301
Channel Islands,174140,915
Guam,169031,313
Curaçao,164211,370
Kiribati,119760,147
Micronesia,115231,164
Grenada,112614,331
St. Vincent & Grenadines,111002,284
Aruba,106845,593
Tonga,105901,147
U.S. Virgin Islands,104398,298
Seychelles,98453,214
Antigua and Barbuda,98069,223
Isle of Man,85112,149
Andorra,77287,164
Dominica,72017,96
Cayman Islands,65854,274
Bermuda,62237,1246
Marshall Islands,59259,329
Northern Mariana Islands,57619,125
Greenland,56787,0
American Samoa,55169,276
Saint Kitts & Nevis,53264,205
Faeroe Islands,48896,35
Sint Maarten,42960,1261
Monaco,39290,26337
Turks and Caicos,38806,41
Saint Martin,38778,730
Liechtenstein,38147,238
San Marino,33944,566
Gibraltar,33689,3369
British Virgin Islands,30266,202
Caribbean Netherlands,26265,80
Palau,18109,39
Cook Islands,17567,73
Anguilla,15026,167
Tuvalu,11817,393
Wallis & Futuna,11203,80
Nauru,10836,541
Saint Barthelemy,9882,470
Saint Helena,6080,16
Saint Pierre & Miquelon,5789,25
Montserrat,4993,50
Falkland Islands,3497,0
Niue,1628,6
Tokelau,1360,136
Holy See,801,2003
Antarctica,50,1
French Southern and Antarctic Lands,20,1
